포지션명,경력,주요업무,자격요건,우대사항
AI 엔지니어,경력 3년 이상,"• 게임 및 신규 서비스에서 사용할 AI 시스템 설계 및 개발
• 적절한 LLM(대형 언어 모델) 선택 및 서비스에 맞춘 Fine-Tuning
• RAG(Retrieval-Augmented Generation) 및 기타 보조 기술 연구 및 적용
• AI 모델 성능 평가 및 지속적인 개선
• 데이터 기반 사용자 경험 개선 및 최적화
• AI 기술과 관련된 최신 연구 및 트렌드 분석","• NLP 및 생성형 AI 관련 실무 경험
• LLM 모델(Fine-Tuning 및 API 활용)에 대한 깊은 이해
• Python 및 PyTorch, TensorFlow 등의 AI 프레임워크 활용 능력
• RAG, Knowledge Graph, Prompt Engineering 등의 경험 보유자 우대
• 클라우드 환경(AWS, GCP, Kubernetes)에서 AI 모델을 운영한 경험
• AI 기반 서비스의 기획부터 런칭까지 경험한 자
• 능동적으로 문제를 찾고 해결하며, 111퍼센트의 핵심 멤버로 자리매김할 의지가 있는 분","• AI 챗봇, 추천 시스템, 음성 인식, 자연어 처리 등의 프로젝트 경험
• 스타트업 환경에서 빠른 실험과 개발을 즐기시는 분
• AI 기술을 비즈니스에 접목한 경험"
데이터 분석가,경력 5년 이상,"• 운빨존많겜을 비롯한 111% 게임 포트폴리오의 데이터를 분석합니다.
• 데이터 분석을 통해 게임 서비스 개선을 위한 인사이트를 도출합니다.
• 유관부서와 협업하여 데이터 기반의 의사결정을 지원하고, 실질적인 성과 창출에 기여합니다.
• 주요 게임 지표를 효과적으로 파악할 수 있는 대시보드를 기획하고 구성합니다.
• 전사적으로 데이터 인사이트를 공유하고, 데이터 기반 의사 결정 및 액션을 지원합니다.","• 유관 경력 5년 이상인 분을 찾습니다.
• 데이터 분석을 활용해 유의미한 인사이트를 도출 할 수 있으신 분을 찾습니다.
• Python, SQL을 사용해 데이터를 자유롭게 추출하고 가공할 수 있는 분을 찾습니다.
• 게임 산업과 게임 데이터에 대한 높은 이해도를 보유하신 분을 찾습니다.
• 논리적인 사고를 바탕으로 문제를 정의하고, 해결책을 도출할 수 있으신 분을 찾습니다.
• 사업 담당자 및 유관 부서와의 다양한 협업 경험이 있으신 분을 찾습니다.","• 다양한 장르에 대한 높은 이해도를 보유하고, 특히 캐주얼 게임에 대한 인사이트가 있으신 분이면 더 좋습니다.
• A/B Test, 인과 추론, 유저 세그먼트 고도화 경험이 있으신 분이면 더 좋습니다.
• 통계학, 수학, 컴퓨터 공학 등 관련 전공하신 분이면 더 좋습니다.
• 데이터 파이프라인에 대한 이해도가 높으신 분이면 더 좋습니다."
AI SDK Software Engineer (C/C++),경력 5-15년,"[주요 기술 스택]
• 주요 기술: C, C++, Python
• 주요 프레임워크
• AI : TFLite, ONNX, TensorRT, NCNN 등 On-Device 환경 응용
• DSP : Hexagon DSP, HiFi DSP
• 임베디드 : GStreamer, AOSP, CoreAudio 등 활용
• 개발환경
• 개발 환경 : CMake, GCC, GoogleTest, Docker
• 디버깅 : GDB, Valgrind
• 협업 및 업무 관리
• Slack, Git, Jira, Confluence
[가우디오랩의 GDK (Gaudio SDK) 팀을 소개해요]
• 주어진 문제를 논리적인 토론과 합의로 풀어나갑니다.
• 언제나 합리적인 자유와 책임이 공존합니다.
• 사업의 성공과 더불어 오디오 소프트웨어 엔지니어링의 글로벌 No.1 실력을 지향합니다.
[이런 중요한 일들을 담당해요]
• 오디오 AI/DSP SDK 제품의 개선 및 어플리케이션 통합을 지원합니다.
• 제품이 모바일에서 임베디드 시스템까지 다양한 시스템에서 문제없이 활용될 수 있도록 지원합니다.
• 응용될 시스템의 유스케이스를 발굴하고, 그에 맞는 통합 방법에 대해 정의합니다.
• 통합 및 인수 테스트 방법을 설계하고 쉬운 사용을 위한 예제 및 문서를 정의합니다.
• 통합 후 문제점 발생 시 정확하고 빠른 대응을 위한 디버깅 요소를 설계합니다.
• 가우디오의 오디오 알고리즘 및 딥러닝 모델을 C/C++ 언어로 개발합니다.
• 연구팀의 알고리즘 및 딥러닝 모델을 다양한 시스템에서 처리될 수 있는 소프트웨어 개발을 합니다.
• 널리 사용되는 딥러닝 프레임워크와 자체 개발 딥러닝 엔진의 성능을 비교 분석 하고,
• 통합 대상 시스템의 적합한 추론 구현 방법을 설계합니다.","• C/C++ 언어 및 컴파일러에 대한 이해가 깊으신 분
• C/C++ 개발 경험이 있으신 분 (5년 ~ 15년 이하의 경력을 선호합니다)
• 교차 컴파일 환경의 빌드 시스템을 경험해보신 분
• TDD, XP 등 개발 방법론을 적용하여 프로젝트를 진행한 경험이 있으신 분","• DevOps 관련 오픈소스 및 도구 활용 경험이 있으신 분
• 정적/동적 소스코드 분석 툴, Jenkins, CircleCI등 생산성 도구 활용 경험이 있으신 분
• 라이브러리 개발 및 배포 경험이 있으신 분
• FFMPEG, VLC 부터 OGG 코덱 등 미디어 관련 오픈소스 검토 및 활용 경험이 있으신 분"
Data Scientist (Manufacturing Data) (KR),경력 3년 이상,"• Design and implement customized AI solutions for manufacturing.
• Analyze manufacturing data to uncover opportunities and develop AI models.
• Collaborate with customers to understand their requirements and deliver clear, data-driven solutions.
• Work closely with our internal teams to ensure solutions are feasible, scalable, and aligned with product strategy.
• Present findings to both technical and non-technical stakeholders.","• BS/MS in Engineering, Science, or a related field.
• 3+ years of experience leading AI or data science projects in the semiconductor industry or another manufacturing field.
• Strong problem-solving skills and customer-focused mindset.
• Proficiency in data science tools: Python and SQL.
• Ability to work independently and as part of a team.
• Travel domestically to customer sites as needed (up to 20% of working hours).
• Fluency in both English and Korean.","• MS in Computer Science, Data Science, or related field.
• Experience in predictive modeling and cloud platforms (e.g., AWS, Azure, Google Cloud).
• Excellent communication skills, with the ability to simplify complex technical concepts."
자연어처리(NLP) 엔지니어,경력 5년 이상,"• 자연어 처리(NLP) 기술을 활용한 검색 순위 모델(Ranking Model) 개발
• 질의어 분석을 통한 검색 의도 이해(Query Understanding)
• 글로벌 서비스를 위한 다국어 언어 분석기 개선
• 토픽 모델링, 키워드 확장, 시맨틱 검색 등 검색 관련 NLP 기술 연구 및 적용
• 검색 품질 지표 정의 및 A/B 테스트를 통한 성능 평가","• 컴퓨터 과학, 데이터 과학, AI/ML, NLP 관련 전공 학사 이상 또는 이에 준하는 경험
• NLP 및 정보 검색(IR) 관련 경험 5년 이상
• 머신러닝/딥러닝을 활용한 검색 품질 개선 경험이 있는 분
• Python, Java, Kotlin 등 프로그래밍 언어에 능숙한 분
• Elasticsearch, OpenSearch 등 검색 엔진 활용 경험이 있는 분
• 대규모 데이터 처리 및 로그 분석 경험이 있는 분
• 어떠한 상황에서든 문제 해결과 그로 인한 성장을 즐기는 분","• 최신 LLM(대형 언어 모델)을 검색 시스템에 활용한 경험이 있는 분
• 벡터 검색(Vector Search), 시맨틱 검색 적용 경험이 있는 분
• A/B 테스트를 활용한 검색 품질 평가 경험이 있는 분
• 성형/시술 산업에 대한 깊은 이해와 관심이 있는 분
• 팀의 목표와 기술적 비전을 공유하며 협업과 성장을 이끄는 분"
머신러닝 엔지니어 (시니어),경력 7년 이상,"• 검색 추천 등 사용자 경험에서 발생하는 주요 결함의 근본 원인 분석
• 가장 최적의 기술 (ML, DL, LLM 등)을 활용한 문제 해결 방안 제안 및 구현
• 머신러닝 모델의 개발부터 프로덕션 배포까지 자동화된 프로세스 설계 및 구현
• 시뮬레이션 및 A/B 테스트를 설계하고 분석 결과 기반 개선점 도출 및 개선
• 주니어 MLE 멘토링을 통한 팀 ML 역량 강화
• 조직 내 합의를 이끌고 기술적 비전을 공유하는 리더 역할","• 7년 이상의 고객 경험 개선을 위한 ML/DL 기반의 서비스 적용 경험
• 문제의 핵심을 파악하고 데이터를 기반으로 예상 임팩트를 추론하여 해결 방안을 주도한 경험
• Python 기반 통계 모델부터 ML, DL, LLM까지 문제 해결을 위한 최적의 솔루션을 제안하고 프로덕션화한 경험
• 다양한 모델의 기획, 개발, 배포, 운영까지 End-to-End 경험을 보유하고 각 단계의 핵심 요소를 명확히 인지하신 분
• 동료들과 원활한 커뮤니케이션 및 협업 능력","• 분산 시스템과 프로세스의 개선, 자동화, 최적화를 열정적으로 탐구하고 주도한 경험
• 컴퓨터 공학 또는 관련 분야에서 석사/박사 학위 보유
• e-commerce, 소셜 네트워크, 검색 엔진 관련 기업에서의 업무 경험
• 대규모 언어 모델(LLM) 또는 생성형 AI에 대한 실무 경험
＜우리가 기대하는 가치＞
• 새로운 기술을 탐험하고 도메인 지식을 깊이 파고드는 열정
• 기존의 틀을 넘어선 창의적이고 혁신적인 사고
• 자동화 및 최적화를 통해 시스템 효율성을 높이는 열정
• 팀의 목표와 기술적 비전을 공유하며 협업과 성장을 이끄는 리더십"
머신러닝 엔지니어 (주니어),경력 3년 이상,"• 검색 추천 등 사용자 경험에서 발생하는 주요 결함의 근본 원인 분석
• 가장 최적의 기술 (ML, DL, LLM 등)을 활용한 문제 해결 방안 제안 및 구현
• 머신러닝 모델의 개발부터 프로덕션 배포까지 자동화된 프로세스 설계 및 구현
• 시뮬레이션 및 A/B 테스트를 설계하고 분석 결과 기반 개선점 도출 및 개선","• 3년 이상의 고객 경험 개선을 위한 ML/DL 기반의 서비스 적용 경험
• 문제의 핵심을 파악하고 데이터를 기반으로 예상 임팩트를 추론하여 해결 방안을 주도한 경험
• Python 기반 통계 모델부터 ML, DL, LLM까지 문제 해결을 위한 최적의 솔루션을 제안하고 프로덕션화한 경험
• 다양한 모델의 기획, 개발, 배포, 운영까지 End-to-End 경험을 보유하고 각 단계의 핵심 요소를 명확히 인지하신 분
• 동료들과 원활한 커뮤니케이션 및 협업 능력","• 분산 시스템과 프로세스의 개선, 자동화, 최적화를 열정적으로 탐구하고 주도한 경험
• 컴퓨터 공학 또는 관련 분야에서 석사/박사 학위 보유
• e-commerce, 소셜 네트워크, 검색 엔진 관련 기업에서의 업무 경험
• 대규모 언어 모델(LLM) 또는 생성형 AI에 대한 실무 경험
＜우리가 기대하는 가치＞
• 새로운 기술을 탐험하고 도메인 지식을 깊이 파고드는 열정
• 기존의 틀을 넘어선 창의적이고 혁신적인 사고
• 자동화 및 최적화를 통해 시스템 효율성을 높이는 열정
• 팀의 목표와 기술적 비전을 공유하며 협업과 성장을 이끄는 리더십"
데이터 엔지니어,경력 3년 이상,"• Streaming data pipeline 구축, stream 처리 작업 개발 및 운영
• A/B testing 플랫폼의 데이터 수집, 정합성 관리
• Data 적재 작업 개발, 정합성 관리 및 운영
• Data Platform 개선 및 운영
• Data Warehouse 및 Data Mart 모델링","• Data Science, Data Analysis 팀과 협업 경험
• 2년 이상 Backend Engineer로서 서비스를 개발한 경험
• 3년 이상의 Data Warehouse/Data Mart, data pipeline 설계 및 운영 경험
• Software(Java, Python) 개발 경험과 알고리즘 ,자료구조, 디자인 패턴에 대한 이해
• 뛰어난 SQL 사용 능력","• ML ops pipeline 구축에 경험 또는 관심이 있는 분
• dbt 이용한 데이터 처리 경험
• AWS cloud에 대한 이해와 경험
• Spark 등 빅데이터 처리에 대한 경험
• Airbyte, DataHub, Snowflake, Airflow, Kafka, Flink 등의 구축 및 운영 경험"
"[직업훈련] 교육상담, 수강생관리 등 상담매니저",신입,"• 훈련생 교육과정 상담 및 데이터 관리
• 온라인 교육과정 운영 및 관리
• 훈련생 온보딩 및 설명회 진행
* 근무시간 : 화~토(주 5일) / 9시~18시
* 근무조건 : 1년 계약직(계약 종료 후 정규직 전환 검토)","• 학력 무관
• 공감 능력으로 친근하게 소통할 줄 아시는 분
• 배우고자 하는 열정이 있으신 분
• 게임을 좋아하고 자기 개발에 의지가 있으신 분","• 교육상담 또는 상담 경험이 있으신 분
• 교육 프랜차이즈 기관을 경험해 보신 분
• 직업상담사 자격을 소지하신 분"
브랜드 영업 MD,경력 5-10년,"1. 채널별 영업 목표 설정
- 채널별(온/오프라인) 정책 수립, 목표 매출 설정
2. 영업 채널 관리
- 상품 등록 판매 세팅, 판매 재고 관리, 채널 영업 유지보수
- 매출 확대를 위한 영업 관리 (상품 기획전 운영 및 노출/행사 관리)
- 채널별 운영 가격 세팅 및 대응
3. 고객 피드백 관리
- 채널 별 리뷰 관리, 고객 피드백 정리/대응
4. 영업 수치 관리
- 상품 매출 및 이익률 관련 데이터 정리 및 분석, 관리
5. 신규 채널 발굴 및 입점 진행
- 신규 온/오프라인 채널 및 인플루언서 리서치 및 컨택, 입점 및 영업 진행
6. 시장 조사
- 국내외 뷰티, 패브릭, 생활용품, 반려동물 등 시장 현황 및 트랜드 조사, 정리
- 신규 상품 기획 및 트렌드 아이템 조사 및 제안","• 5년 이상의 플랫폼, 커머스, 브랜드 업계에서 영업 MD 경험이 있으신 분
• 뷰티, 패브릭, 생활용품, 반려동물 등의 영역 중 1곳 이상의 영역에서 깊이 있는 경험을 보유한 분
• 성과 목표에 대한 직접적인 계획을 가지고 이를 달성한 구체적인 경험을 보유한 분
• 신규 채널에 대해 관심을 가지고, 확장해 본 경험이 있으신 분
• 매출, 마진율 등 수치에 대한 이해도가 높으신 분","• 담당 상품에 대한 전문성 및 온/오프라인 플랫폼/커머스 인적 네트워크 보유 우수자
• 영업력을 통한 온/오프라인 채널에서 목표 매출을 설정하고, 매출 증대 경험 보유자
• 쿠팡, 올리브영, 오늘의집, 스마트스토어, 종합몰 등 국내 중요 플랫폼을 운영해보신 경험 보유자
• 팀내, 타부서간 적극적이며 원활한 커뮤니케이션 우수 경험 보유자"
