공고명,회사명,URL
인공지능 모델 개발자,에이아이리더,https://www.wanted.co.kr/wd/269311
인공지능 음성 합성(TTS) 전문가,미니레코드,https://www.wanted.co.kr/wd/268978
프로덕트 전략 매니저,마키나락스,https://www.wanted.co.kr/wd/268408
AI-Software Engineer,크라우드웍스,https://www.wanted.co.kr/wd/247310
AI Engineer,샵라이브,https://www.wanted.co.kr/wd/216503
Back-end Engineering (FC Automation),쿠팡,https://www.wanted.co.kr/wd/270033
[AX] AI/ML 엔지니어,콕스웨이브,https://www.wanted.co.kr/wd/234298
마케팅 담당,이쿠얼키(인공지능수학 깨봉),https://www.wanted.co.kr/wd/260766
신약개발 단백질-화합물 결합 예측  인공지능 연구원,보로노이,https://www.wanted.co.kr/wd/261663
인공지능 개발자,바이브온코퍼레이션,https://www.wanted.co.kr/wd/258938
인공지능 개발자,니어브레인,https://www.wanted.co.kr/wd/262340
신약개발 특허분석 인공지능 연구원,보로노이,https://www.wanted.co.kr/wd/258119
[그루비 SaaS 솔루션] AI 엔지니어 (NLP),플래티어,https://www.wanted.co.kr/wd/261357
"인공지능, 알고리즘 엔지니어",럭스로보(LUXROBO),https://www.wanted.co.kr/wd/233519
"[생성형 인공지능] Frontend Engineer (Senior, 전문연有)",휴멜로,https://www.wanted.co.kr/wd/225753
MLOps Engineer (2년 이상),뤼이드(Riiid),https://www.wanted.co.kr/wd/251415
Product Solution Architect,업스테이지,https://www.wanted.co.kr/wd/267077
[COE부문] AI Backend Engineer,한화생명보험,https://www.wanted.co.kr/wd/211562
B2G Sales (5년~),빅밸류,https://www.wanted.co.kr/wd/256188
"CTO (Gen AI, 머신 러닝)",링크12,https://www.wanted.co.kr/wd/263133
풀스택 개발자,엘오엘,https://www.wanted.co.kr/wd/263474
인공지능(AI) 기업교육 기획 및 운영 담당자,알고리즘랩스,https://www.wanted.co.kr/wd/270375
AI연구소 AI기반연구팀 팀장 (7년 이상),아이스크림아트,https://www.wanted.co.kr/wd/254617
AI Model Production (Document AI),업스테이지,https://www.wanted.co.kr/wd/134824
신약개발 LLM 인공지능 연구원,보로노이,https://www.wanted.co.kr/wd/207703
[인공지능솔루션] Project Manager,마인즈앤컴퍼니,https://www.wanted.co.kr/wd/250008
Search Engineer,티맵모빌리티,https://www.wanted.co.kr/wd/249889
인공지능 LLM 개발 (SEC Filling),이자,https://www.wanted.co.kr/wd/255331
[인공지능 솔루션] Business Development,마인즈앤컴퍼니,https://www.wanted.co.kr/wd/151965
Product Manager,팀에버플,https://www.wanted.co.kr/wd/243829
AI Researcher / Engineer,퍼스트해빗,https://www.wanted.co.kr/wd/270562
LLM Project Manager (1~4Y),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/270566
인공지능 엔진 개발,코너,https://www.wanted.co.kr/wd/257704
인공지능 서비스 개발,자이언트스텝,https://www.wanted.co.kr/wd/240999
[전문연구요원 가능] 인공지능 연구원 (신입),메디인테크,https://www.wanted.co.kr/wd/147486
[전문연구요원 가능] 인공지능 연구원,메디인테크,https://www.wanted.co.kr/wd/100405
인공지능 사업기획 및 개발,카이어,https://www.wanted.co.kr/wd/89325
인공지능 MLOps 플랫폼 백엔드 개발자 (자바/3년 이상),텐,https://www.wanted.co.kr/wd/266941
연구분석실 인공지능팀 (자연어처리/빅데이터분석),아일리스프런티어(ailysfrontier),https://www.wanted.co.kr/wd/269229
"AI(인공지능) VIsion, Multi modal 개발자",씨이랩,https://www.wanted.co.kr/wd/266175
인공지능 연구개발,카이어,https://www.wanted.co.kr/wd/73517
인공지능(AI) 개발자,누아,https://www.wanted.co.kr/wd/257537
인공지능 시스템 백엔드 서버 개발자 및 DevOps 엔지니어,아일리스프런티어(ailysfrontier),https://www.wanted.co.kr/wd/264200
음성 개발자 (가상 인물 음성 생성),씨앤에이아이,https://www.wanted.co.kr/wd/265675
의료 인공지능 웹/앱 서비스 기획자,휴런,https://www.wanted.co.kr/wd/260950
"IoT 센서 및 클라우드 HW, SW 개발 (AI/데이터 분석 포함)",에스씨솔루션글로벌,https://www.wanted.co.kr/wd/266984
AI engineer (prompt engineer),도슨티,https://www.wanted.co.kr/wd/218810
인공지능 전문가,에이치엠이스퀘어,https://www.wanted.co.kr/wd/221103
