공고명,회사명,URL
NLP/LLM 엔지니어,테스트웍스,https://www.wanted.co.kr/wd/267632
[ATI]AI Engineer - LLM Application,앤서스랩코리아,https://www.wanted.co.kr/wd/269533
[COE부문] AI Modeling Engineer,한화생명보험,https://www.wanted.co.kr/wd/211566
Back-end Engineer (Fulfillment Technologies),쿠팡,https://www.wanted.co.kr/wd/268549
LLM 엔지니어/연구원,데이터드리븐,https://www.wanted.co.kr/wd/263844
AI Engineer (LLM),워프스페이스,https://www.wanted.co.kr/wd/230817
(LLM/자연어) AI 엔지니어 (5년 이상),바비톡,https://www.wanted.co.kr/wd/270161
Machine Learning Engineer(LLM Application),엘박스,https://www.wanted.co.kr/wd/233546
Sr. LLM Project Manager (5년 이상),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/261608
[AX] AI/ML 엔지니어,콕스웨이브,https://www.wanted.co.kr/wd/234298
머신러닝 엔지니어 (LLM),마키나락스,https://www.wanted.co.kr/wd/225016
AI 개발자(LLM Engineer),다이렉트클라우드랩,https://www.wanted.co.kr/wd/269642
인공지능 개발자,바이브온코퍼레이션,https://www.wanted.co.kr/wd/258938
LLM Optimization Engineer,옵트에이아이,https://www.wanted.co.kr/wd/265342
비서 (2년 이상),박스풀,https://www.wanted.co.kr/wd/258819
MLOps/LLMOps 엔지니어,큐빅,https://www.wanted.co.kr/wd/265885
Sr. Researcher (LLM),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/264931
AI Research Engineer (LLM Application),시나몬,https://www.wanted.co.kr/wd/261846
ML Engineer (LLM),비비던트코리아,https://www.wanted.co.kr/wd/250559
LLM Engineer (Ambient Intelligence),포티투닷(42dot),https://www.wanted.co.kr/wd/231550
신약개발 LLM 인공지능 연구원,보로노이,https://www.wanted.co.kr/wd/207703
AI/LLM Curriculum Developer,업스테이지,https://www.wanted.co.kr/wd/262163
[クリエーションライン株式会社] AI/LLM エンジニア_근무지 일본,원티드_일본 현지 채용,https://www.wanted.co.kr/wd/265623
인공지능 LLM 개발 (SEC Filling),이자,https://www.wanted.co.kr/wd/255331
AI 개발(STT/LLM),넥서스커뮤니티,https://www.wanted.co.kr/wd/198559
AI Model Production (LLM),업스테이지,https://www.wanted.co.kr/wd/237208
LLM Engineer (LLM 학습/튜닝/강화학습),포티투닷(42dot),https://www.wanted.co.kr/wd/224603
"AI 에이전트 핵심 개발자 - LLM, API, RPA 연동 전문가",싸이버로지텍,https://www.wanted.co.kr/wd/271338
백엔드 개발자 (AI/LLM 서비스),스마트마인드,https://www.wanted.co.kr/wd/251911
LLM Project Manager (Contractor),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/270564
LLM Project Manager (1~4Y),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/270566
Senior Data Engineer - LLM,업스테이지,https://www.wanted.co.kr/wd/248977
AI Research Engineer - LLM,업스테이지,https://www.wanted.co.kr/wd/226037
LLMOps Ops / AI 모델 개발 엔지니어,제로원에이아이,https://www.wanted.co.kr/wd/166685
[ESTsecurity] 알약 xLLM 제품 개발,이스트소프트(ESTsoft),https://www.wanted.co.kr/wd/268946
AI 엔지니어(NLP/LLM),미니레코드,https://www.wanted.co.kr/wd/268971
LLM Application Engineer,아이브릭스,https://www.wanted.co.kr/wd/267299
머신러닝/딥러닝 엔지니어,아이스크림에듀,https://www.wanted.co.kr/wd/265750
LLM 개발자,씨앤에이아이,https://www.wanted.co.kr/wd/265711
Python기반 AI(LLM) 소프트웨어 엔지니어,비알프레임,https://www.wanted.co.kr/wd/265197
[신입] 머신러닝 엔지니어 (LLM),마키나락스,https://www.wanted.co.kr/wd/264181
AI 모델 개발자(2년 이상),엑셈,https://www.wanted.co.kr/wd/264704
LLM Agent Engineer,하이퍼리즘,https://www.wanted.co.kr/wd/259857
[AX] LLM 소프트웨어 엔지니어,콕스웨이브,https://www.wanted.co.kr/wd/244312
경영지원 담당자,박스풀,https://www.wanted.co.kr/wd/258818
LLM Researcher,애자일소다,https://www.wanted.co.kr/wd/253458
